	lemme	case	nb	graphie
25258	donner	ii3S	4	donnait-donné-donnée-donnés
25264	donner	pI2S	2	donne-donné
25271	donner	pi1P	3	donnent-donnes-donnons
25319	dorer	pi2P	2	dorer-dorez
25484	doucher	pi2P	2	doucher-douchez
25495	douer	ii3P	2	doué-douée
25562	draguer	ii3P	3	draguaient-dragué-draguée
25601	drainer	pi2P	2	drainer-drainez
25634	draper	ii3S	2	drapait-drapé
25732	droguer	ii3P	2	droguaient-drogué
25743	droguer	pi2P	2	droguer-droguez
25776	duper	ii3S	2	dupait-dupé
25788	duper	pi2P	2	duper-dupez
26025	débarquer	ii3P	2	débarquaient-débarqué
26039	débarquer	pi2P	2	débarquer-débarquez
26061	débarrasser	ii3P	2	débarrassaient-débarrassé
26119	débattre	pi2P	2	débattez-débattre
26137	débaucher	pI2P	2	débaucher-débauchez
26197	débiter	ii3P	2	débitaient-débité
26229	déblayer	fi1P	2	déblaierons-déblayerons
26231	déblayer	fi3S	2	déblaiera-déblayera
26239	déblayer	pI2S	2	déblaie-déblaye
26241	déblayer	pi1S	2	déblaie-déblaye
26243	déblayer	pi2S	2	déblaies-déblayes
26245	déblayer	pi3S	2	déblaie-déblaye
26478	déboutonner	pI2P	2	déboutonner-déboutonnez
26530	débrancher	pi2P	2	débrancher-débranchez
26542	débrayer	pI2S	2	débraie-débraye
26641	débusquer	pi2P	2	débusquer-débusquez
26661	débuter	ii3P	2	débutaient-débuté
26822	décapiter	ii3S	2	décapitait-décapité
26832	décapiter	pi2P	2	décapiter-décapitez
27004	décharger	ii3S	2	déchargeait-déchargé
27007	décharger	pI2P	2	décharger-déchargez
27066	déchaîner	pi2P	2	déchaîner-déchaînez
27085	déchiffrer	ii3S	3	déchiffrait-déchiffrer-déchiffré
27111	déchiqueter	ii3S	2	déchiquetait-déchiqueter
27141	déchirer	ii3S	2	déchirait-déchiré
27145	déchirer	pI2S	2	déchire-déchiré
27188	décider	ii3P	2	décidaient-décidé
27189	décider	ii3S	2	décidait-décidé
27203	décider	pi2P	2	décider-décidez
27236	décimer	pi2P	2	décimer-décimez
27276	déclarer	ii3P	4	déclaraient-déclaré-déclarée-déclarés
27277	déclarer	ii3S	2	déclarait-déclaré
27289	déclarer	pi2P	2	déclarer-déclarez
27331	déclencher	ii3P	2	déclenchaient-déclenché
27332	déclencher	ii3S	2	déclenchait-déclenché
27419	décoder	pI2P	2	décoder-décodez
27483	décoller	ii3S	2	décollait-décollé
27601	décompresser	pI2P	2	décompresser-décompressez
27657	déconcerter	ii3S	2	déconcertait-déconcerté
27707	déconnecter	ii3P	2	déconnectaient-déconnectée
27711	déconnecter	pI2P	2	déconnecter-déconnectez
27850	décorer	ii3S	2	décorait-décoré
27950	découper	ii3S	2	découpait-découpé
28098	décrire	pI2P	2	décrire-décrivez
28108	décrire	pi2P	2	décrire-décrivez
28142	décrocher	ii3S	2	décrochait-décroché
28146	décrocher	pI2P	2	décrocher-décrochez
28155	décrocher	pi2P	2	décrocher-décrochez
28408	dédier	pi2P	2	dédier-dédiez
28627	défendre	pI2P	2	défendez-défendre
28637	défendre	pi2P	2	défendez-défendre
28712	défier	pi2P	2	défier-défiez
28755	défiler	ii3P	2	défilaient-défilé
28756	défiler	ii3S	2	défilait-défilé
28769	défiler	pi2P	2	défiler-défilez
28856	défoncer	ii3P	2	défoncé-défonçaient
28857	défoncer	ii3S	2	défoncé-défonçait
28869	défoncer	pi2P	2	défoncer-défoncez
28887	déformer	ii3S	2	déformait-déformé
28924	défouler	pi2P	2	défouler-défoulez
28952	défrayer	pi3S	2	défraie-défraye
29063	dégager	ii3S	2	dégageait-dégagé
29074	dégager	pi1P	2	dégageons-dégages
29252	dégonfler	ii3P	2	dégonflaient-dégonflé
29264	dégonfler	pi2P	2	dégonfler-dégonflez
29291	dégoter	ii3S	2	dégotait-dégoté
29404	dégoûter	pi2P	2	dégoûter-dégoûtez
29430	dégrader	pi2P	2	dégrader-dégradez
29601	déguiser	ii3P	2	déguisaient-déguisés
29658	dégénérer	ii3P	2	dégénéraient-dégénéré
29746	déjeuner	pi2P	2	déjeuner-déjeunez
29946	délier	pI2P	2	délier-déliez
30035	délivrer	pi1P	2	délivres-délivrons
30057	délocaliser	pi2P	2	délocaliser-délocalisez
30240	démarquer	pi2P	2	démarquer-démarquez
30322	dématérialiser	pi2P	2	dématérialiser-dématérialisez
30488	démissionner	pI2S	2	démissionne-démissionné
30496	démissionner	pi2P	2	démissionner-démissionnez
30573	démonter	ii3S	2	démontait-démonté
30633	démoraliser	pi2P	2	démoraliser-démoralisez
30725	déménager	ii3P	2	déménageaient-déménagé
30726	déménager	ii3S	2	déménageait-déménagé
30764	démêler	ii3S	2	démêlait-démêlé
30888	dénigrer	pi2P	2	dénigrer-dénigrez
30935	dénoncer	pI2P	2	dénoncer-dénoncez
30944	dénoncer	pi2P	2	dénoncer-dénoncez
31110	dépasser	ii3S	2	dépassait-dépassé
31122	dépasser	pi2P	2	dépasser-dépassez
31258	dépenser	pi2P	2	dépenser-dépensez
31335	déplacer	ii3P	3	déplacé-déplacés-déplaçaient
31381	déplaire	pi2P	2	déplaire-déplaisez
31458	déployer	ii3S	2	déployait-déployé
31553	déposer	ii3P	2	déposaient-déposé
31554	déposer	ii3S	2	déposait-déposé
31611	dépouiller	ii3P	2	dépouillaient-dépouillé
31817	dépêcher	pI2P	2	dépêcher-dépêchez
31924	déranger	ii3S	2	dérangeait-dérangé
32041	dérober	ii3P	2	dérobaient-dérobé
32142	dérouter	ii3P	2	déroutaient-déroutés
32224	désactiver	ii3S	2	désactivait-désactivé
32232	désactiver	pi2P	2	désactiver-désactivez
32682	déshabiller	pi2P	2	déshabiller-déshabillez
32740	déshumaniser	pi2P	2	déshumaniser-déshumanisez
32755	déshydrater	pi2P	2	déshydrater-déshydratez
32969	désirer	ii3P	2	désiraient-désiré
32970	désirer	ii3S	2	désirait-désiré
32974	désirer	pI2P	2	désirer-désirez
33076	désoler	ii3S	3	désolait-désolé-désolée
33082	désoler	pi1S	2	désole-désolé
33254	détacher	ii3S	2	détachait-détaché
33257	détacher	pI2P	2	détacher-détachez
33265	détacher	pi2P	2	détacher-détachez
33483	déterminer	ii3P	2	déterminaient-déterminé
33517	déterrer	ii3P	3	déterraient-déterré-déterrés
33518	déterrer	ii3S	2	déterrait-déterré
33552	détester	ii3S	2	détestait-détesté
33933	développer	ii3P	2	développaient-développé
33934	développer	ii3S	2	développait-développé
34006	déverser	ii3P	2	déversaient-déversés
34047	dévier	pi2P	2	dévier-déviez
34091	dévisser	ii3P	2	dévissaient-dévissé
34137	dévoiler	pi2P	2	dévoiler-dévoilez
34159	dévorer	ii3P	3	dévoraient-dévoré-dévorée
34207	dévoyer	ii3S	2	dévoyait-dévoyée
34250	dézipper	pI2P	2	dézipper-dézippez
34307	effacer	ii3P	2	effacé-effaçaient
34321	effacer	pi2P	2	effacer-effacez
34365	effectuer	ii3P	2	effectuaient-effectué
34366	effectuer	ii3S	2	effectuait-effectuer
34456	effondrer	ii3P	2	effondraient-effondré
34457	effondrer	ii3S	2	effondrait-effondré
34515	effrayer	fi1S	2	effraierai-effrayerai
34516	effrayer	fi2P	2	effraierez-effrayerez
34517	effrayer	fi2S	2	effraieras-effrayeras
34518	effrayer	fi3P	2	effraieront-effrayeront
34519	effrayer	fi3S	2	effraiera-effrayera
34524	effrayer	ii3P	2	effrayaient-effrayé
34525	effrayer	ii3S	4	effrayait-effrayé-effrayée-effrayés
34529	effrayer	pI2S	2	effraie-effraye
34530	effrayer	pc1S	2	effraierais-effrayerais
34532	effrayer	pc2S	2	effraierais-effrayerais
34533	effrayer	pc3P	2	effraieraient-effrayeraient
34534	effrayer	pc3S	2	effraierait-effrayerait
34536	effrayer	pi1S	2	effraie-effraye
34538	effrayer	pi2S	2	effraies-effrayes
34539	effrayer	pi3P	2	effraient-effrayent
34540	effrayer	pi3S	2	effraie-effraye
34579	emballer	ii3S	2	emballait-emballé
34582	emballer	pI2P	2	emballer-emballez
34615	embarquer	ii3P	2	embarquaient-embarqué
34616	embarquer	ii3S	2	embarquait-embarquée
34692	embaucher	ii3P	4	embauchaient-embauché-embauchée-embauchés
34693	embaucher	ii3S	2	embauchait-embauché
34812	embourber	pi2P	2	embourber-embourbez
34923	embrasser	ii3P	2	embrassaient-embrassé
34924	embrasser	ii3S	2	embrassait-embrassé
34952	embrayer	pI2S	2	embraie-embraye
34953	embrayer	pi1S	2	embraie-embraye
34955	embrayer	pi2S	2	embraies-embrayes
34957	embrayer	pi3S	2	embraie-embraye
35021	embrouiller	pi2P	2	embrouiller-embrouillez
35092	embêter	pi2P	2	embêter-embêtez
35151	emmener	ii3P	3	emmenaient-emmené-emmenée
35152	emmener	ii3S	3	emmenait-emmené-emmenés
35163	emmener	pi1P	2	emmenons-emmènes
35258	emménager	ii3P	2	emménageaient-emménagé
35284	emmêler	ii3P	2	emmêlaient-emmêlés
35402	emparer	pi2P	2	emparer-emparez
35481	empiler	ii3P	2	empilaient-empilés
35604	employer	ii3P	2	employaient-employé
35618	employer	pi2P	2	employer-employez
35650	empocher	ii3S	2	empochait-empoché
35675	empoigner	ii3S	2	empoignait-empoigné
35701	empoisonner	ii3P	2	empoisonnaient-empoisonné
35702	empoisonner	ii3S	2	empoisonnait-empoisonné
35715	empoisonner	pi2P	2	empoisonner-empoisonnez
35753	emporter	ii3S	2	emportait-emporter
35757	emporter	pI2P	2	emporter-emportez
35767	emporter	pi2P	2	emporter-emportez
35846	emprisonner	ii3P	2	emprisonnaient-emprisonnée
35891	emprunter	pi2P	2	emprunter-empruntez
35948	empêcher	pi2P	2	empêcher-empêchez
35983	encadrer	ii3P	2	encadraient-encadrés
35984	encadrer	ii3S	2	encadrait-encadrée
35993	encadrer	pi2P	2	encadrer-encadrez
36120	encercler	ii3P	2	encerclaient-encerclé
36176	enchaîner	ii3P	2	enchaînaient-enchaîné
36319	encombrer	pi2P	2	encombrer-encombrez
36366	encourager	pi2P	2	encourager-encouragez
36469	enculer	ii3S	2	enculait-enculés
36565	endommager	ii3P	2	endommageaient-endommagé
36566	endommager	ii3S	2	endommageait-endommagés
36778	enfermer	ii3P	3	enfermaient-enfermé-enfermés
36779	enfermer	ii3S	2	enfermait-enfermé
36889	enflammer	pi2P	2	enflammer-enflammez
37124	engager	ii3P	3	engageaient-engagé-engagée
37125	engager	ii3S	2	engageait-engagé
37266	engouffrer	pi2P	2	engouffrer-engouffrez
37535	enlacer	pi2P	2	enlacer-enlacez
37570	enlever	ii3P	3	enlevaient-enlevé-enlevée
37571	enlever	ii3S	3	enlevait-enlever-enlevé
37574	enlever	pI2P	2	enlever-enlevez
37584	enlever	pi2P	2	enlever-enlevez
37667	ennuyer	ii3S	2	ennuyait-ennuyée
37679	ennuyer	pi2P	2	ennuyer-ennuyez
37843	enrayer	pi3S	2	enraie-enraye
37861	enregistrer	ii3P	2	enregistraient-enregistré
37862	enregistrer	ii3S	2	enregistrait-enregistré
37866	enregistrer	pI2P	2	enregistrer-enregistrez
37875	enregistrer	pi2P	2	enregistrer-enregistrez
38012	enrôler	pi2P	2	enrôler-enrôlez
38228	entailler	pI2P	2	entailler-entaillez
38253	entamer	ii3P	2	entamaient-entamé
38374	enterrer	ii3P	2	enterraient-enterré
38375	enterrer	ii3S	3	enterrait-enterrer-enterré
38379	enterrer	pI2P	2	enterrer-enterrez
38388	enterrer	pi2P	2	enterrer-enterrez
38570	entraver	pi2P	2	entraver-entravez
38592	entraîner	ii3P	3	entraînaient-entraîné-entraînés
38593	entraîner	ii3S	2	entraînait-entraîné
38653	entre-tuer	pi2P	2	entre-tuer-entre-tuez
38822	entrer	ii3P	2	entraient-entré
38823	entrer	ii3S	3	entrait-entré-entrée
38835	entrer	pi1P	2	entres-entrons
38837	entrer	pi2P	2	entres-entrez
39078	envelopper	ii3P	2	enveloppaient-enveloppée
39082	envelopper	pI2P	2	envelopper-enveloppez
39143	envier	pi2P	2	envier-enviez
39176	envisager	ii3S	2	envisageait-envisagé
39189	envisager	pi2P	2	envisager-envisagez
39252	envoyer	ii3P	4	envoyaient-envoyé-envoyées-envoyés
39253	envoyer	ii3S	5	envoyait-envoyé-envoyée-envoyées-envoyés
39265	envoyer	pi1P	2	envoies-envoyons
39324	errer	ii3S	2	errait-errer
39475	escorter	pi2P	2	escorter-escortez
39512	escroquer	pI2S	2	escroque-escroqué
39517	escroquer	pi2P	2	escroquer-escroquez
39558	espionner	ii3S	2	espionnait-espionné
39573	espionner	pi3S	2	espionne-espionné
39593	espérer	ii3P	2	espéraient-espéré
39594	espérer	ii3S	2	espérait-espéré
39597	espérer	pI2P	2	espérer-espérez
39607	espérer	pi2P	2	espérer-espérez
39664	esquiver	ii3P	2	esquivaient-esquivé
39665	esquiver	ii3S	2	esquivait-esquivé
39697	essayer	fi1P	2	essaierons-essayerons
39698	essayer	fi1S	2	essaierai-essayerai
39699	essayer	fi2P	2	essaierez-essayerez
39700	essayer	fi2S	2	essaieras-essayeras
39701	essayer	fi3P	2	essaieront-essayeront
39702	essayer	fi3S	2	essaiera-essayera
39707	essayer	ii3P	3	essayaient-essayé-essayée
39708	essayer	ii3S	2	essayait-essayé
39713	essayer	pI2P	2	essayer-essayez
39714	essayer	pI2S	3	essaie-essaye-essayé
39715	essayer	pc1P	2	essaierions-essayerions
39716	essayer	pc1S	2	essaierais-essayerais
39717	essayer	pc2P	2	essaieriez-essayeriez
39718	essayer	pc2S	2	essaierais-essayerais
39719	essayer	pc3P	2	essaieraient-essayeraient
39720	essayer	pc3S	2	essaierait-essayerait
39722	essayer	pi1S	2	essaie-essaye
39723	essayer	pi2P	2	essayer-essayez
39724	essayer	pi2S	2	essaies-essayes
39725	essayer	pi3P	2	essaient-essayent
39726	essayer	pi3S	2	essaie-essaye
39732	essayer	ps2S	2	essaies-essayes
39733	essayer	ps3S	2	essaie-essaye
39790	essuyer	ii3S	2	essuyait-essuyé
39855	estimer	pi2P	2	estimer-estimez
39878	estomper	ii3P	2	estompaient-estompés
39946	exagérer	ii3P	2	exagéraient-exagéré
39947	exagérer	ii3S	2	exagérait-exagéré
39957	exagérer	pi2P	2	exagérer-exagérez
39998	examiner	ii3S	2	examinait-examiné
40012	examiner	pi2P	2	examiner-examinez
40109	excepter	ii3S	2	excepté-exceptée
40111	excepter	pI2P	2	excepter-exceptez
40150	exciter	pI2P	2	exciter-excitez
40151	exciter	pI2S	2	excite-excité
40157	exciter	pi2P	2	exciter-excitez
40243	excuser	pI2P	2	excuser-excusez
40244	excuser	pI2S	2	excuse-excusé
40250	excuser	pi1P	2	excuses-excusons
40252	excuser	pi2P	2	excuser-excusez
40310	exercer	ii3S	2	exercé-exerçait
40320	exercer	pi2P	2	exercer-exercez
40510	exiler	pi2P	2	exiler-exilez
40532	exister	ii3S	2	existait-exister
40582	exorciser	pI2P	2	exorciser-exorcisez
40701	expliquer	ii3P	2	expliquaient-expliqué
40702	expliquer	ii3S	2	expliquait-expliqué
40712	expliquer	pi1P	2	expliques-expliquons
40738	exploiter	ii3P	2	exploitaient-exploité
40751	exploiter	pi2P	2	exploiter-exploitez
40807	exploser	ii3P	2	explosaient-explosé
40808	exploser	ii3S	2	explosait-explosé
40881	exposer	pi2P	2	exposer-exposez
40904	exprimer	ii3P	2	exprimaient-exprimé
40949	expulser	ii3P	2	expulsaient-expulsé
41089	exterminer	pi2P	2	exterminer-exterminez
41139	extorquer	pi2P	2	extorquer-extorquez
41294	exécuter	ii3P	3	exécutaient-exécuté-exécutés
41299	exécuter	pI2S	2	exécute-exécuté
41389	faciliter	pi2P	2	faciliter-facilitez
41417	facturer	ii3S	2	facturait-facturé
41429	facturer	pi2P	2	facturer-facturez
41552	faire	ps2S	2	fasse-fasses
41579	falsifier	ii3S	2	falsifiait-falsifié
41606	familiariser	pi2P	2	familiariser-familiarisez
41625	faner	ii3S	2	fanait-fanée
41634	faner	pi2P	3	faner-fanes-fanez
41674	fantasmer	pi2P	2	fantasmer-fantasmez
41785	fatiguer	ii3S	3	fatiguait-fatigué-fatiguée
41796	fatiguer	pi2P	2	fatiguer-fatiguez
41816	faucher	ii3S	2	fauchait-fauché
41859	faufiler	pi2P	2	faufiler-faufilez
41926	favoriser	pi2P	2	favoriser-favorisez
42078	fendre	pi2P	2	fendez-fendre
42122	fermer	ii3P	2	fermaient-fermé
42123	fermer	ii3S	2	fermait-fermé
42127	fermer	pI2S	2	ferme-fermé
42427	fier	pi2P	2	fier-fiez
42516	filer	ii3P	2	filaient-filé
42517	filer	ii3S	2	filait-filer
42528	filer	pi1P	2	files-filons
42530	filer	pi2P	2	filer-filez
42567	filmer	inf	2	filme-filmer
42578	filmer	pi2P	2	filmer-filmez
42711	finir	ii3S	2	finir-finissait
42771	fixer	ii3S	2	fixait-fixé
42774	fixer	pI2P	2	fixer-fixez
42783	fixer	pi2P	2	fixer-fixez
42808	flageller	pi2P	2	flageller-flagellez
42997	flatter	pi2P	2	flatter-flattez
43074	flinguer	pi1S	2	flingue-flingues
43093	flipper	ii3P	2	flippaient-flippé
43094	flipper	ii3S	2	flippait-flippé
43136	flirter	ii3P	2	flirtaient-flirté
43333	focaliser	pi2P	2	focaliser-focalisez
43349	foirer	ii3S	2	foirait-foiré
43450	fonctionner	ii3P	2	fonctionnaient-fonctionnées
43482	fonder	ii3P	2	fondaient-fondé
43483	fonder	ii3S	2	fondait-fondé
43516	fondre	pI2P	2	fondez-fondre
43545	forcer	ii3P	3	forcé-forcée-forçaient
43546	forcer	ii3S	3	forcé-forcée-forçait
43550	forcer	pI2P	2	forcer-forcez
43560	forcer	pi2P	2	forcer-forcez
43600	forfaire	inf	2	forfaire-forfait
43678	former	ii3P	2	formaient-formés
43679	former	ii3S	2	formait-formés
43682	former	pI2P	2	former-formez
43692	former	pi2P	2	former-formez
43820	fouetter	ii3S	3	fouettait-fouetté-fouettée
43852	fouiller	ii3P	3	fouillaient-fouillé-fouillés
43853	fouiller	ii3S	2	fouillait-fouillé
43866	fouiller	pi2P	2	fouiller-fouillez
44103	foutre	pi1P	2	fous-foutons
44287	frapper	ii3P	2	frappaient-frappé
44288	frapper	ii3S	3	frappait-frappé-frappés
44353	frayer	fi1P	2	fraierons-frayerons
44354	frayer	fi1S	2	fraierai-frayerai
44356	frayer	fi3S	2	fraiera-frayera
44365	frayer	pI2S	2	fraie-fraye
44367	frayer	pc3S	2	fraierait-frayerait
44369	frayer	pi1S	2	fraie-fraye
44371	frayer	pi2S	2	fraies-frayes
44372	frayer	pi3P	2	fraient-frayent
44373	frayer	pi3S	2	fraie-fraye
44714	frotter	pi2P	2	frotter-frottez
44745	frustrer	pi2P	2	frustrer-frustrez
45049	fusiller	pi2P	2	fusiller-fusillez
45118	fâcher	ii3S	2	fâchait-fâché
45130	fâcher	pi2P	2	fâcher-fâchez
45187	féliciter	ii3S	2	félicitait-félicité
45264	fêter	pi2P	2	fêtes-fêtez
45319	gagner	ii3P	4	gagnaient-gagné-gagnée-gagnés
45320	gagner	ii3S	2	gagnait-gagné
45325	gagner	pI2S	2	gagne-gagné
45541	garder	ii3P	4	gardaient-gardé-gardée-gardés
45542	garder	ii3S	2	gardait-gardé
45554	garder	pi1P	2	gardes-gardons
45586	garer	ii3S	2	garait-garé
45598	garer	pi2P	2	garer-garez
45677	gaspiller	ii3P	2	gaspillaient-gaspillée
45678	gaspiller	ii3S	2	gaspillait-gaspillés
45838	geler	ii3P	2	gelaient-gelée
45839	geler	ii3S	2	gelait-gelé
45850	geler	pi2P	2	geler-gelez
45959	gifler	ii3P	2	giflaient-giflé
45960	gifler	ii3S	2	giflait-giflée
45962	gifler	pI2P	2	gifler-giflez
45970	gifler	pi2P	2	gifler-giflez
46027	glacer	pi2P	2	glacer-glacez
46112	glisser	ii3P	3	glissaient-glissé-glissée
46129	glisser	pi3S	2	glisse-tue
46428	gouverner	pi2P	2	gouverner-gouvernez
46462	goûter	pi2P	2	goûter-goûtez
46917	griller	ii3P	2	grillaient-grillées
47317	guider	ii3P	2	guidaient-guidé
47329	guider	pi1P	2	guides-guidons
47331	guider	pi2P	2	guider-guidez
47334	guider	pi3S	2	guide-guidé
47432	gâcher	ii3S	2	gâchait-gâché
47444	gâcher	pi2P	2	gâcher-gâchez
47583	gérer	ii3S	2	gérait-géré
47596	gérer	pi2P	2	gérer-gérez
47630	gêner	ii3S	2	gênait-gêné
47683	habiller	ii3S	4	habillait-habillé-habillée-habillés
47687	habiller	pI2S	2	habille-habillé
47718	habiter	ii3P	2	habitaient-habité
47719	habiter	ii3S	2	habitait-habité
47855	halluciner	pi2P	2	halluciner-hallucinez
47908	hanter	pi2P	2	hanter-hantez
47963	harceler	ii3S	2	harcelait-harceler
47966	harceler	pI2P	2	harceler-harcelez
47972	harceler	pi2P	2	harceler-harcelez
48078	haver	pI2P	2	haver-havez
48217	hisser	pI2S	2	hisse-hissé
48221	hisser	pi2P	2	hisser-hissez
48313	honorer	pI2P	2	honorer-honorez
48322	honorer	pi2P	2	honorer-honorez
48473	humaniser	pI2P	2	humaniser-humanisez
48805	hériter	ii3P	2	héritaient-hérité
48841	hésiter	ii3S	2	hésitait-hésité
48875	identifier	ii3S	2	identifiait-identifié
48878	identifier	pI2P	2	identifier-identifiez
48887	identifier	pi2P	2	identifier-identifiez
48956	ignorer	ii3P	2	ignoraient-ignoré
48957	ignorer	ii3S	2	ignorait-ignorés
48972	ignorer	pi2P	2	ignorer-ignorez
49074	imaginer	ii3P	2	imaginaient-imaginé
49075	imaginer	ii3S	2	imaginait-imaginé
49078	imaginer	pI2P	2	imaginer-imaginez
49088	imaginer	pi2P	2	imaginer-imaginez
49186	immerger	pi2P	2	immerger-immergez
49271	immoler	pi2P	2	immoler-immolez
49373	implanter	ii3S	2	implantait-implanté
49384	implanter	pi2P	2	implanter-implantez
49410	impliquer	pI2P	2	impliquer-impliquez
49420	impliquer	pi2P	2	impliquer-impliquez
49453	implorer	pi1S	2	implore-imploré
49572	imposer	pi2P	2	imposer-imposez
49593	impressionner	ii3P	2	impressionnaient-impressionné
49605	impressionner	pi2P	2	impressionner-impressionnez
49626	imprimer	ii3P	2	imprimaient-imprimées
49628	imprimer	inf	2	imprime-imprimer
49715	imputer	ii3S	2	imputait-imputés
49821	incendier	ii3P	2	incendiaient-incendiés
49822	incendier	ii3S	2	incendiait-incendié
49843	incinérer	ii3P	2	incinéraient-incinéré
49846	incinérer	pI2P	2	incinérer-incinérez
49871	inciser	pi2P	2	inciser-incisez
49932	incliner	pi2P	2	incliner-inclinez
50017	incorporer	pi2P	2	incorporer-incorporez
50209	indigner	pi2P	2	indigner-indignez
50242	indiquer	pi1P	2	indiques-indiquons
50244	indiquer	pi2P	2	indiquer-indiquez
50324	infecter	ii3P	4	infectaient-infecté-infectées-infectés
50368	infiltrer	ii3P	2	infiltraient-infiltré
50369	infiltrer	ii3S	2	infiltrait-infiltré
50372	infiltrer	pI2P	2	infiltrer-infiltrez
50378	infiltrer	pi2P	2	infiltrer-infiltrez
50426	infliger	pi2P	2	infliger-infligez
50447	influencer	ii3P	2	influencés-influençaient
50516	informer	ii3P	2	informaient-informé
50528	informer	pi1S	2	informe-informé
50529	informer	pi2P	2	informer-informez
50613	inhaler	ii3P	2	inhalaient-inhalé
50676	initier	ii3P	2	initiaient-initiés
50705	injecter	ii3P	2	injectaient-injecté
50706	injecter	ii3S	2	injectait-injecté
50709	injecter	pI2P	2	injecter-injectez
50736	injurier	pI2P	2	injurier-injuriez
50771	innocenter	pi2P	2	innocenter-innocentez
50856	inquiéter	ii3S	2	inquiétait-inquiété
50907	inscrire	pi2P	2	inscrire-inscrivez
50967	insister	ii3P	2	insistaient-insisté
50968	insister	ii3S	2	insistait-insisté
51047	inspirer	pI2P	2	inspirer-inspirez
51080	installer	ii3S	2	installait-installée
51191	instruire	pi2P	2	instruire-instruisez
51225	insuffler	pi2P	2	insuffler-insufflez
51246	insulter	ii3S	2	insultait-insulté
51531	interdire	pi2P	2	interdire-interdisez
